job_id,source_job_id,alias_no,alias_name
JT0531,531,1,PCキッティング係員
JT0532,532,1,宅配ピザ配達員
JT0532,532,2,宅配弁当配達員
JT0540,540,1,デバック技術員
JT0540,540,2,デバック作業員
JT0540,540,3,QA（Quality Assurance）テスター
JT0540,540,4,QAエンジニア
JT0540,540,5,ゲームテスター
JT0542,542,1,運送事務員
JT0542,542,2,検収・検品係員
JT0542,542,3,出荷・発送係員
JT0542,542,4,倉庫事務員
JT0542,542,5,保管・管理係員
JT0544,544,1,MD
JT0544,544,2,食料品マーチャンダイザー
JT0544,544,3,アパレルバイヤー
JT0544,544,4,マーチャンダイザー（百貨店）
JT0545,545,1,歯科アシスタント
JT0545,545,2,歯科受付係
JT0545,545,3,歯科診療補助員
JT0546,546,1,保育助手
JT0546,546,2,保育ヘルパー
JT0546,546,3,保育アシスタント
JT0547,547,1,造船工
JT0547,547,2,造船鉄工
JT0547,547,3,船体ブロック組立工
JT0547,547,4,船大工
JT0547,547,5,船舶内張工
JT0547,547,6,船舶艤装工
JT0547,547,7,船舶機関部艤装工
JT0547,547,8,船舶居住部艤装工
JT0547,547,9,船舶甲板部艤装工
JT0547,547,10,船舶検査工
JT0547,547,11,船舶塗装工
JT0547,547,12,船舶配管工
JT0547,547,13,船舶配線作業員
JT0548,548,1,食料品検査工
JT0549,549,1,クレーンオペレーター
JT0549,549,2,クレーン運転工
JT0551,551,1,建築設計技術者
JT0551,551,2,建築構造設計技術者
JT0551,551,3,建築設備設計技術者
JT0552,552,1,UI/UXデザイナー
JT0554,554,1,スポーツプロモーター
JT0555,555,1,サ責
JT0555,555,2,サービス提供責任者
JT0557,557,1,旋盤工
JT0557,557,2,ボール盤工
JT0557,557,3,フライス盤工
JT0557,557,4,研削盤工
JT0557,557,5,仕上機械工
JT0558,558,1,自動車車体整備士
JT0558,558,2,自動車板金塗装工
JT0558,558,3,板金工（自動車修理業）
JT0558,558,4,板金塗装工（自動車修理業）
JT0559,559,1,配電盤組立工
JT0559,559,2,制御盤組立工
